Date,T_min (°C),T_max (°C),T_mean (°C),RH_mean (%),Rain_sum (mm)
2025-08-19,22.7,28.4,25.4,86.9,4.8
2025-08-20,21.9,30.3,25.6,84.0,0.1
2025-08-21,21.3,30.9,25.1,85.6,8.0
2025-08-22,21.5,27.4,23.2,92.6,8.8
2025-08-23,20.4,25.4,22.5,92.1,4.0
2025-08-24,18.8,29.2,23.5,81.9,0.3
2025-08-25,20.2,29.1,24.3,67.3,0.0
2025-08-26,16.4,27.0,21.9,60.8,0.0
2025-08-27,16.0,26.8,21.1,61.0,0.0
2025-08-28,16.7,27.2,21.8,68.6,0.0
2025-08-29,16.7,28.1,22.5,72.5,0.0
2025-08-30,18.3,28.5,23.1,71.3,0.0
2025-08-31,17.8,27.4,22.5,74.5,0.6
2025-09-01,17.5,27.2,21.6,67.6,0.0
2025-09-02,15.7,26.3,21.0,64.2,0.0
2025-09-03,16.2,27.1,21.9,70.7,0.2
2025-09-04,18.0,28.6,23.2,72.6,0.2
2025-09-05,19.3,31.1,25.0,75.2,2.0
2025-09-06,20.6,29.3,23.2,86.9,13.1
2025-09-07,20.1,27.9,23.2,81.6,1.9
2025-09-08,17.8,24.8,20.8,63.5,0.0
2025-09-09,15.0,23.8,19.3,61.9,0.0
2025-09-10,14.2,25.7,19.8,66.2,0.0
2025-09-11,15.7,28.0,21.9,67.5,0.0
2025-09-12,17.2,27.6,22.1,68.6,0.2
2025-09-13,16.9,27.5,21.9,68.5,0.0
2025-09-14,15.8,28.3,21.9,65.8,0.1
2025-09-15,,,22.8,65.0,
2025-09-16,,,,,
2025-09-17,,,,,
